[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold0_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold0_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
Ep 12 [lr=2.00e-04] | L:0.590 (BCE:0.588 REG:0.0020 LB:0.0000) | VAL_AUC:0.7581 PRC:0.7476 F1:0.6868
Ep 13 [lr=2.00e-04] | L:0.581 (BCE:0.579 REG:0.0019 LB:0.0000) | VAL_AUC:0.7597 PRC:0.7507 F1:0.6747
Ep 14 [lr=2.00e-04] | L:0.575 (BCE:0.573 REG:0.0019 LB:0.0000) | VAL_AUC:0.7694 PRC:0.7602 F1:0.6828
Ep 15 [lr=2.00e-04] | L:0.568 (BCE:0.566 REG:0.0019 LB:0.0000) | VAL_AUC:0.7706 PRC:0.7620 F1:0.6798
Ep 16 [lr=2.00e-04] | L:0.564 (BCE:0.562 REG:0.0019 LB:0.0000) | VAL_AUC:0.7752 PRC:0.7657 F1:0.7102
Ep 17 [lr=2.00e-04] | L:0.560 (BCE:0.558 REG:0.0018 LB:0.0000) | VAL_AUC:0.7777 PRC:0.7689 F1:0.7057
Ep 18 [lr=2.00e-04] | L:0.557 (BCE:0.555 REG:0.0019 LB:0.0000) | VAL_AUC:0.7788 PRC:0.7711 F1:0.7014
Ep 19 [lr=2.00e-04] | L:0.553 (BCE:0.552 REG:0.0019 LB:0.0000) | VAL_AUC:0.7813 PRC:0.7722 F1:0.6971
Ep 20 [lr=2.00e-04] | L:0.550 (BCE:0.548 REG:0.0019 LB:0.0000) | VAL_AUC:0.7816 PRC:0.7739 F1:0.7099
Ep 21 [lr=2.00e-04] | L:0.548 (BCE:0.546 REG:0.0019 LB:0.0000) | VAL_AUC:0.7820 PRC:0.7743 F1:0.7115
Ep 22 [lr=2.00e-04] | L:0.544 (BCE:0.542 REG:0.0019 LB:0.0000) | VAL_AUC:0.7841 PRC:0.7769 F1:0.7117
Ep 23 [lr=2.00e-04] | L:0.541 (BCE:0.540 REG:0.0018 LB:0.0000) | VAL_AUC:0.7867 PRC:0.7793 F1:0.7062
Ep 24 [lr=2.00e-04] | L:0.539 (BCE:0.537 REG:0.0019 LB:0.0000) | VAL_AUC:0.7863 PRC:0.7781 F1:0.7142
Ep 25 [lr=2.00e-04] | L:0.535 (BCE:0.534 REG:0.0018 LB:0.0000) | VAL_AUC:0.7862 PRC:0.7780 F1:0.7092
Ep 26 [lr=2.00e-04] | L:0.534 (BCE:0.532 REG:0.0018 LB:0.0000) | VAL_AUC:0.7898 PRC:0.7808 F1:0.7123
Ep 27 [lr=2.00e-04] | L:0.531 (BCE:0.529 REG:0.0018 LB:0.0000) | VAL_AUC:0.7902 PRC:0.7828 F1:0.7263
Ep 28 [lr=2.00e-04] | L:0.528 (BCE:0.526 REG:0.0019 LB:0.0000) | VAL_AUC:0.7923 PRC:0.7834 F1:0.7246
Ep 29 [lr=2.00e-04] | L:0.524 (BCE:0.523 REG:0.0019 LB:0.0000) | VAL_AUC:0.7923 PRC:0.7821 F1:0.7182
Ep 30 [lr=2.00e-04] | L:0.522 (BCE:0.520 REG:0.0019 LB:0.0000) | VAL_AUC:0.7931 PRC:0.7847 F1:0.7255
Ep 31 [lr=2.00e-04] | L:0.519 (BCE:0.517 REG:0.0018 LB:0.0000) | VAL_AUC:0.7921 PRC:0.7837 F1:0.7249
Ep 32 [lr=2.00e-04] | L:0.516 (BCE:0.514 REG:0.0018 LB:0.0000) | VAL_AUC:0.7958 PRC:0.7870 F1:0.7241
Ep 33 [lr=2.00e-04] | L:0.513 (BCE:0.512 REG:0.0019 LB:0.0000) | VAL_AUC:0.7981 PRC:0.7887 F1:0.7227
Ep 34 [lr=2.00e-04] | L:0.510 (BCE:0.508 REG:0.0019 LB:0.0000) | VAL_AUC:0.7984 PRC:0.7891 F1:0.7194
Ep 35 [lr=2.00e-04] | L:0.508 (BCE:0.506 REG:0.0019 LB:0.0000) | VAL_AUC:0.7965 PRC:0.7872 F1:0.7172
Ep 36 [lr=2.00e-04] | L:0.505 (BCE:0.503 REG:0.0019 LB:0.0000) | VAL_AUC:0.7987 PRC:0.7897 F1:0.7286
Ep 37 [lr=2.00e-04] | L:0.502 (BCE:0.501 REG:0.0019 LB:0.0000) | VAL_AUC:0.8003 PRC:0.7910 F1:0.7258
Ep 38 [lr=2.00e-04] | L:0.499 (BCE:0.497 REG:0.0019 LB:0.0000) | VAL_AUC:0.8009 PRC:0.7925 F1:0.7243
Ep 39 [lr=2.00e-04] | L:0.497 (BCE:0.495 REG:0.0019 LB:0.0000) | VAL_AUC:0.8005 PRC:0.7911 F1:0.7326
Ep 40 [lr=2.00e-04] | L:0.494 (BCE:0.492 REG:0.0019 LB:0.0000) | VAL_AUC:0.8001 PRC:0.7921 F1:0.7245
Ep 41 [lr=2.00e-04] | L:0.491 (BCE:0.489 REG:0.0019 LB:0.0000) | VAL_AUC:0.8028 PRC:0.7930 F1:0.7231
Ep 42 [lr=2.00e-04] | L:0.489 (BCE:0.487 REG:0.0019 LB:0.0000) | VAL_AUC:0.8013 PRC:0.7925 F1:0.7287
Ep 43 [lr=2.00e-04] | L:0.487 (BCE:0.485 REG:0.0019 LB:0.0000) | VAL_AUC:0.8017 PRC:0.7916 F1:0.7287
Ep 44 [lr=2.00e-04] | L:0.484 (BCE:0.482 REG:0.0019 LB:0.0000) | VAL_AUC:0.8021 PRC:0.7929 F1:0.7285
Ep 45 [lr=1.00e-04] | L:0.481 (BCE:0.480 REG:0.0019 LB:0.0000) | VAL_AUC:0.8024 PRC:0.7937 F1:0.7208
Ep 46 [lr=1.00e-04] | L:0.471 (BCE:0.469 REG:0.0019 LB:0.0000) | VAL_AUC:0.8039 PRC:0.7953 F1:0.7292
Ep 47 [lr=1.00e-04] | L:0.470 (BCE:0.468 REG:0.0018 LB:0.0000) | VAL_AUC:0.8062 PRC:0.7971 F1:0.7318
Ep 48 [lr=1.00e-04] | L:0.467 (BCE:0.465 REG:0.0019 LB:0.0000) | VAL_AUC:0.8059 PRC:0.7960 F1:0.7211
Ep 49 [lr=1.00e-04] | L:0.466 (BCE:0.464 REG:0.0019 LB:0.0000) | VAL_AUC:0.8062 PRC:0.7952 F1:0.7380
Ep 50 [lr=1.00e-04] | L:0.465 (BCE:0.463 REG:0.0018 LB:0.0000) | VAL_AUC:0.8049 PRC:0.7945 F1:0.7302
Ep 51 [lr=5.00e-05] | L:0.463 (BCE:0.461 REG:0.0019 LB:0.0000) | VAL_AUC:0.8048 PRC:0.7959 F1:0.7346
Ep 52 [lr=5.00e-05] | L:0.457 (BCE:0.455 REG:0.0018 LB:0.0000) | VAL_AUC:0.8056 PRC:0.7955 F1:0.7248
Ep 53 [lr=5.00e-05] | L:0.455 (BCE:0.453 REG:0.0019 LB:0.0000) | VAL_AUC:0.8054 PRC:0.7951 F1:0.7312
Ep 54 [lr=5.00e-05] | L:0.455 (BCE:0.453 REG:0.0018 LB:0.0000) | VAL_AUC:0.8057 PRC:0.7959 F1:0.7286
Ep 55 [lr=2.50e-05] | L:0.454 (BCE:0.452 REG:0.0018 LB:0.0000) | VAL_AUC:0.8054 PRC:0.7951 F1:0.7295
Ep 56 [lr=2.50e-05] | L:0.450 (BCE:0.448 REG:0.0018 LB:0.0000) | VAL_AUC:0.8061 PRC:0.7950 F1:0.7314
Ep 57 [lr=2.50e-05] | L:0.450 (BCE:0.448 REG:0.0018 LB:0.0000) | VAL_AUC:0.8057 PRC:0.7956 F1:0.7319
Ep 58 [lr=2.50e-05] | L:0.449 (BCE:0.447 REG:0.0018 LB:0.0000) | VAL_AUC:0.8051 PRC:0.7951 F1:0.7294
Ep 59 [lr=1.25e-05] | L:0.448 (BCE:0.447 REG:0.0018 LB:0.0000) | VAL_AUC:0.8060 PRC:0.7957 F1:0.7320
Early stop at epoch 59

最优 AUC: 0.8062  模型: results_operator_moe/VCAP/no_moe_r8_k4_Fold0_v1.pt
