[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold4_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold4_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
Ep 21 [lr=2.00e-04] | L:0.512 (BCE:0.510 REG:0.0016 LB:0.0000) | VAL_AUC:0.8267 PRC:0.8132 F1:0.7530
Ep 22 [lr=2.00e-04] | L:0.503 (BCE:0.502 REG:0.0015 LB:0.0000) | VAL_AUC:0.8308 PRC:0.8173 F1:0.7475
Ep 23 [lr=2.00e-04] | L:0.497 (BCE:0.495 REG:0.0016 LB:0.0000) | VAL_AUC:0.8344 PRC:0.8229 F1:0.7526
Ep 24 [lr=2.00e-04] | L:0.491 (BCE:0.490 REG:0.0015 LB:0.0000) | VAL_AUC:0.8362 PRC:0.8267 F1:0.7486
Ep 25 [lr=2.00e-04] | L:0.486 (BCE:0.485 REG:0.0015 LB:0.0000) | VAL_AUC:0.8400 PRC:0.8299 F1:0.7602
Ep 26 [lr=2.00e-04] | L:0.482 (BCE:0.480 REG:0.0015 LB:0.0000) | VAL_AUC:0.8411 PRC:0.8312 F1:0.7637
Ep 27 [lr=2.00e-04] | L:0.477 (BCE:0.476 REG:0.0015 LB:0.0000) | VAL_AUC:0.8427 PRC:0.8309 F1:0.7571
Ep 28 [lr=2.00e-04] | L:0.473 (BCE:0.472 REG:0.0015 LB:0.0000) | VAL_AUC:0.8439 PRC:0.8341 F1:0.7669
Ep 29 [lr=2.00e-04] | L:0.470 (BCE:0.468 REG:0.0015 LB:0.0000) | VAL_AUC:0.8455 PRC:0.8359 F1:0.7683
Ep 30 [lr=2.00e-04] | L:0.467 (BCE:0.466 REG:0.0015 LB:0.0000) | VAL_AUC:0.8492 PRC:0.8395 F1:0.7645
Ep 31 [lr=2.00e-04] | L:0.463 (BCE:0.461 REG:0.0014 LB:0.0000) | VAL_AUC:0.8484 PRC:0.8381 F1:0.7593
Ep 32 [lr=2.00e-04] | L:0.460 (BCE:0.458 REG:0.0014 LB:0.0000) | VAL_AUC:0.8493 PRC:0.8400 F1:0.7691
Ep 33 [lr=2.00e-04] | L:0.456 (BCE:0.455 REG:0.0014 LB:0.0000) | VAL_AUC:0.8497 PRC:0.8397 F1:0.7718
Ep 34 [lr=2.00e-04] | L:0.454 (BCE:0.452 REG:0.0014 LB:0.0000) | VAL_AUC:0.8500 PRC:0.8407 F1:0.7699
Ep 35 [lr=2.00e-04] | L:0.451 (BCE:0.449 REG:0.0014 LB:0.0000) | VAL_AUC:0.8520 PRC:0.8421 F1:0.7691
Ep 36 [lr=2.00e-04] | L:0.448 (BCE:0.447 REG:0.0014 LB:0.0000) | VAL_AUC:0.8517 PRC:0.8418 F1:0.7638
Ep 37 [lr=2.00e-04] | L:0.445 (BCE:0.444 REG:0.0014 LB:0.0000) | VAL_AUC:0.8530 PRC:0.8440 F1:0.7729
Ep 38 [lr=2.00e-04] | L:0.444 (BCE:0.443 REG:0.0014 LB:0.0000) | VAL_AUC:0.8535 PRC:0.8441 F1:0.7689
Ep 39 [lr=2.00e-04] | L:0.440 (BCE:0.439 REG:0.0013 LB:0.0000) | VAL_AUC:0.8546 PRC:0.8460 F1:0.7779
Ep 40 [lr=2.00e-04] | L:0.438 (BCE:0.437 REG:0.0014 LB:0.0000) | VAL_AUC:0.8559 PRC:0.8466 F1:0.7744
Ep 41 [lr=2.00e-04] | L:0.436 (BCE:0.435 REG:0.0013 LB:0.0000) | VAL_AUC:0.8542 PRC:0.8445 F1:0.7792
Ep 42 [lr=2.00e-04] | L:0.434 (BCE:0.432 REG:0.0014 LB:0.0000) | VAL_AUC:0.8546 PRC:0.8467 F1:0.7670
Ep 43 [lr=2.00e-04] | L:0.432 (BCE:0.431 REG:0.0014 LB:0.0000) | VAL_AUC:0.8558 PRC:0.8455 F1:0.7774
Ep 44 [lr=2.00e-04] | L:0.430 (BCE:0.428 REG:0.0014 LB:0.0000) | VAL_AUC:0.8562 PRC:0.8477 F1:0.7745
Ep 45 [lr=2.00e-04] | L:0.427 (BCE:0.426 REG:0.0013 LB:0.0000) | VAL_AUC:0.8546 PRC:0.8454 F1:0.7765
Ep 46 [lr=2.00e-04] | L:0.425 (BCE:0.423 REG:0.0014 LB:0.0000) | VAL_AUC:0.8570 PRC:0.8483 F1:0.7752
Ep 47 [lr=2.00e-04] | L:0.424 (BCE:0.422 REG:0.0014 LB:0.0000) | VAL_AUC:0.8561 PRC:0.8474 F1:0.7734
Ep 48 [lr=2.00e-04] | L:0.420 (BCE:0.419 REG:0.0014 LB:0.0000) | VAL_AUC:0.8567 PRC:0.8486 F1:0.7761
Ep 49 [lr=2.00e-04] | L:0.419 (BCE:0.418 REG:0.0014 LB:0.0000) | VAL_AUC:0.8568 PRC:0.8476 F1:0.7795
Ep 50 [lr=1.00e-04] | L:0.417 (BCE:0.416 REG:0.0014 LB:0.0000) | VAL_AUC:0.8571 PRC:0.8473 F1:0.7739
Ep 51 [lr=1.00e-04] | L:0.407 (BCE:0.405 REG:0.0013 LB:0.0000) | VAL_AUC:0.8568 PRC:0.8475 F1:0.7757
Ep 52 [lr=1.00e-04] | L:0.404 (BCE:0.402 REG:0.0013 LB:0.0000) | VAL_AUC:0.8575 PRC:0.8477 F1:0.7757
Ep 53 [lr=1.00e-04] | L:0.403 (BCE:0.402 REG:0.0013 LB:0.0000) | VAL_AUC:0.8586 PRC:0.8497 F1:0.7748
Ep 54 [lr=1.00e-04] | L:0.401 (BCE:0.399 REG:0.0013 LB:0.0000) | VAL_AUC:0.8589 PRC:0.8500 F1:0.7767
Ep 55 [lr=1.00e-04] | L:0.400 (BCE:0.399 REG:0.0013 LB:0.0000) | VAL_AUC:0.8578 PRC:0.8479 F1:0.7776
Ep 56 [lr=1.00e-04] | L:0.399 (BCE:0.397 REG:0.0014 LB:0.0000) | VAL_AUC:0.8591 PRC:0.8503 F1:0.7779
Ep 57 [lr=1.00e-04] | L:0.397 (BCE:0.396 REG:0.0014 LB:0.0000) | VAL_AUC:0.8586 PRC:0.8489 F1:0.7753
Ep 58 [lr=1.00e-04] | L:0.397 (BCE:0.396 REG:0.0014 LB:0.0000) | VAL_AUC:0.8587 PRC:0.8489 F1:0.7765
Ep 59 [lr=1.00e-04] | L:0.395 (BCE:0.394 REG:0.0014 LB:0.0000) | VAL_AUC:0.8581 PRC:0.8479 F1:0.7720
Ep 60 [lr=5.00e-05] | L:0.393 (BCE:0.392 REG:0.0014 LB:0.0000) | VAL_AUC:0.8576 PRC:0.8471 F1:0.7759
Ep 61 [lr=5.00e-05] | L:0.388 (BCE:0.387 REG:0.0013 LB:0.0000) | VAL_AUC:0.8588 PRC:0.8490 F1:0.7754
Ep 62 [lr=5.00e-05] | L:0.387 (BCE:0.386 REG:0.0013 LB:0.0000) | VAL_AUC:0.8585 PRC:0.8490 F1:0.7761
Ep 63 [lr=5.00e-05] | L:0.386 (BCE:0.385 REG:0.0014 LB:0.0000) | VAL_AUC:0.8580 PRC:0.8481 F1:0.7759
Ep 64 [lr=2.50e-05] | L:0.385 (BCE:0.384 REG:0.0014 LB:0.0000) | VAL_AUC:0.8588 PRC:0.8490 F1:0.7774
Ep 65 [lr=2.50e-05] | L:0.382 (BCE:0.381 REG:0.0014 LB:0.0000) | VAL_AUC:0.8584 PRC:0.8486 F1:0.7788
Ep 66 [lr=2.50e-05] | L:0.382 (BCE:0.380 REG:0.0013 LB:0.0000) | VAL_AUC:0.8592 PRC:0.8497 F1:0.7781
Ep 67 [lr=2.50e-05] | L:0.381 (BCE:0.380 REG:0.0013 LB:0.0000) | VAL_AUC:0.8590 PRC:0.8495 F1:0.7785
Ep 68 [lr=2.50e-05] | L:0.381 (BCE:0.380 REG:0.0013 LB:0.0000) | VAL_AUC:0.8591 PRC:0.8496 F1:0.7797
Ep 69 [lr=2.50e-05] | L:0.380 (BCE:0.379 REG:0.0013 LB:0.0000) | VAL_AUC:0.8590 PRC:0.8492 F1:0.7782
Ep 70 [lr=1.25e-05] | L:0.379 (BCE:0.378 REG:0.0013 LB:0.0000) | VAL_AUC:0.8586 PRC:0.8485 F1:0.7770
Ep 71 [lr=1.25e-05] | L:0.379 (BCE:0.377 REG:0.0013 LB:0.0000) | VAL_AUC:0.8586 PRC:0.8487 F1:0.7778
Ep 72 [lr=1.25e-05] | L:0.378 (BCE:0.376 REG:0.0013 LB:0.0000) | VAL_AUC:0.8588 PRC:0.8489 F1:0.7759
Ep 73 [lr=1.25e-05] | L:0.378 (BCE:0.377 REG:0.0013 LB:0.0000) | VAL_AUC:0.8588 PRC:0.8486 F1:0.7767
Ep 74 [lr=6.25e-06] | L:0.377 (BCE:0.376 REG:0.0013 LB:0.0000) | VAL_AUC:0.8590 PRC:0.8492 F1:0.7767
Ep 75 [lr=6.25e-06] | L:0.378 (BCE:0.376 REG:0.0013 LB:0.0000) | VAL_AUC:0.8589 PRC:0.8491 F1:0.7770
Ep 76 [lr=6.25e-06] | L:0.376 (BCE:0.375 REG:0.0013 LB:0.0000) | VAL_AUC:0.8587 PRC:0.8487 F1:0.7764
Early stop at epoch 76

最优 AUC: 0.8592  模型: results_operator_moe/A549/no_moe_r8_k4_Fold4_5fold.pt
