[TRAIN] ⚡ K-mer 缓存: kmer_cache_fold4_train.pt
[VAL] ⚡ K-mer 缓存: kmer_cache_fold4_val.pt

========================================================================
  OperatorMoE | ablation=no_moe
  operator_rank=8 | num_experts=4
  gene_max_len=1000 | warmup=5ep
  params=918,210 | device=cuda:3 | fold=4
========================================================================

/home/data/jiangyun/cgi_data_pipeline5/New/train_operator_moe.py:113: UserWarning: index_reduce() is in beta and the API may change at any time. (Triggered internally at ../aten/src/ATen/native/cuda/Indexing.cu:1190.)
  ).index_reduce_(0, batch_idx, scores, 'amax', include_self=True)
Ep 01 [lr=2.00e-05] | L:0.782 (BCE:0.694 REG:0.0881 LB:0.0000) | VAL_AUC:0.6209 PRC:0.6025 F1:0.5354
Ep 23 [lr=2.00e-04] | L:0.531 (BCE:0.530 REG:0.0014 LB:0.0000) | VAL_AUC:0.7933 PRC:0.7784 F1:0.7109
Ep 24 [lr=2.00e-04] | L:0.528 (BCE:0.527 REG:0.0014 LB:0.0000) | VAL_AUC:0.7941 PRC:0.7782 F1:0.7087
Ep 25 [lr=2.00e-04] | L:0.524 (BCE:0.523 REG:0.0014 LB:0.0000) | VAL_AUC:0.7940 PRC:0.7782 F1:0.7244
Ep 26 [lr=2.00e-04] | L:0.521 (BCE:0.520 REG:0.0014 LB:0.0000) | VAL_AUC:0.7962 PRC:0.7813 F1:0.7062
Ep 27 [lr=2.00e-04] | L:0.518 (BCE:0.516 REG:0.0015 LB:0.0000) | VAL_AUC:0.7976 PRC:0.7812 F1:0.7246
Ep 28 [lr=2.00e-04] | L:0.515 (BCE:0.513 REG:0.0014 LB:0.0000) | VAL_AUC:0.7971 PRC:0.7819 F1:0.7150
Ep 29 [lr=2.00e-04] | L:0.512 (BCE:0.511 REG:0.0014 LB:0.0000) | VAL_AUC:0.7996 PRC:0.7844 F1:0.7161
Ep 30 [lr=2.00e-04] | L:0.508 (BCE:0.506 REG:0.0014 LB:0.0000) | VAL_AUC:0.8024 PRC:0.7858 F1:0.7143
Ep 31 [lr=2.00e-04] | L:0.505 (BCE:0.504 REG:0.0014 LB:0.0000) | VAL_AUC:0.8022 PRC:0.7870 F1:0.7169
Ep 32 [lr=2.00e-04] | L:0.504 (BCE:0.502 REG:0.0014 LB:0.0000) | VAL_AUC:0.8030 PRC:0.7892 F1:0.7285
Ep 33 [lr=2.00e-04] | L:0.499 (BCE:0.497 REG:0.0014 LB:0.0000) | VAL_AUC:0.8032 PRC:0.7863 F1:0.7333
Ep 34 [lr=2.00e-04] | L:0.497 (BCE:0.495 REG:0.0014 LB:0.0000) | VAL_AUC:0.8040 PRC:0.7877 F1:0.7305
Ep 35 [lr=2.00e-04] | L:0.494 (BCE:0.493 REG:0.0014 LB:0.0000) | VAL_AUC:0.8049 PRC:0.7878 F1:0.7260
Ep 36 [lr=2.00e-04] | L:0.492 (BCE:0.491 REG:0.0014 LB:0.0000) | VAL_AUC:0.8038 PRC:0.7854 F1:0.7164
Ep 37 [lr=2.00e-04] | L:0.489 (BCE:0.488 REG:0.0014 LB:0.0000) | VAL_AUC:0.8038 PRC:0.7887 F1:0.7249
Ep 38 [lr=2.00e-04] | L:0.487 (BCE:0.485 REG:0.0014 LB:0.0000) | VAL_AUC:0.8009 PRC:0.7828 F1:0.7172
Ep 39 [lr=2.00e-04] | L:0.484 (BCE:0.483 REG:0.0014 LB:0.0000) | VAL_AUC:0.8057 PRC:0.7885 F1:0.7270
Ep 40 [lr=2.00e-04] | L:0.482 (BCE:0.480 REG:0.0014 LB:0.0000) | VAL_AUC:0.8045 PRC:0.7862 F1:0.7330
Ep 41 [lr=2.00e-04] | L:0.480 (BCE:0.478 REG:0.0014 LB:0.0000) | VAL_AUC:0.8062 PRC:0.7905 F1:0.7314
Ep 42 [lr=2.00e-04] | L:0.477 (BCE:0.475 REG:0.0014 LB:0.0000) | VAL_AUC:0.8036 PRC:0.7862 F1:0.7289
Ep 43 [lr=2.00e-04] | L:0.476 (BCE:0.474 REG:0.0014 LB:0.0000) | VAL_AUC:0.8040 PRC:0.7894 F1:0.7215
Ep 44 [lr=2.00e-04] | L:0.472 (BCE:0.471 REG:0.0014 LB:0.0000) | VAL_AUC:0.8039 PRC:0.7862 F1:0.7268
Ep 45 [lr=1.00e-04] | L:0.470 (BCE:0.469 REG:0.0014 LB:0.0000) | VAL_AUC:0.8035 PRC:0.7859 F1:0.7281
Ep 46 [lr=1.00e-04] | L:0.461 (BCE:0.459 REG:0.0014 LB:0.0000) | VAL_AUC:0.8044 PRC:0.7853 F1:0.7275
Ep 47 [lr=1.00e-04] | L:0.457 (BCE:0.456 REG:0.0014 LB:0.0000) | VAL_AUC:0.8055 PRC:0.7875 F1:0.7347
Ep 48 [lr=1.00e-04] | L:0.456 (BCE:0.455 REG:0.0013 LB:0.0000) | VAL_AUC:0.8046 PRC:0.7859 F1:0.7238
Ep 49 [lr=5.00e-05] | L:0.453 (BCE:0.452 REG:0.0014 LB:0.0000) | VAL_AUC:0.8049 PRC:0.7863 F1:0.7316
Ep 50 [lr=5.00e-05] | L:0.447 (BCE:0.446 REG:0.0014 LB:0.0000) | VAL_AUC:0.8048 PRC:0.7853 F1:0.7305
Ep 51 [lr=5.00e-05] | L:0.445 (BCE:0.444 REG:0.0013 LB:0.0000) | VAL_AUC:0.8058 PRC:0.7868 F1:0.7306
Early stop at epoch 51

最优 AUC: 0.8062  模型: results_operator_moe/VCAP/no_moe_r8_k4_Fold4_5fold.pt
